ID,n_faces_original,n_faces_decimated,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP01_Levallois preferential,492608,20000,0.0,0.07781000627812544,0.6675408126831271,0.08378556928270363,0.08656160586134516,0.046403973068308985,0.005930591339795176,0.015020972295056981,0.003844500756682293,0.00340841954797481,0.002103644486782645,0.0014484067051655396,0.0013756589469124342,0.0009184861573043731,0.0009921414822701008,0.0006547121018235585,0.0006683599740730689,0.0004767540476010933,0.0004158180126169553,0.0003164499724131524,0.00032311699991746206
EXP02_Cylindrical bidirectional,492462,20000,0.0,0.17228172561310975,0.5721538968512465,0.1107896243301989,0.052261076122503386,0.04017235160505183,0.017088734496582474,0.008432710280995785,0.0060696546349391775,0.007861915057625663,0.002188028718429036,0.0036654477701415704,0.001179325760288043,0.0014954897400929438,0.0005742906926601155,0.001594552430622204,0.00044630565373619764,0.0006305638303483773,0.0005872908471253092,0.00028044142407922137,0.00024657414022360584
EXP03_Conical unidirectional,389924,20000,0.0,0.8003765257804152,0.08311769801285458,0.03581530018357851,0.051950655169635346,0.010128145047713867,0.0031690634450091777,0.005936810233740137,0.0022136632188204854,0.0025008771961453533,0.0010353015973610029,0.0016354756053133515,0.00044078306914888376,0.00026595281551315306,0.00037207640293874454,0.00021802739778097063,0.0003317838056623524,0.00014605369892299993,0.00019063949874356355,8.780329037897836e-05,6.736453032350875e-05
EXP04_Levallois preferential,493228,20000,0.0,0.3634392486735132,0.4929361577642787,0.017958158122287137,0.07131747887694065,0.01688592453299949,0.015996729401491216,0.0076882100969545295,0.004181002192897995,0.0025992039775662346,0.0019075513810018357,0.0012713779190700349,0.0009167905515713818,0.0007667807929096443,0.0005431925763436374,0.00033829049610770607,0.0003764069587925241,0.00025530877387516544,0.00022937882852049507,0.00024278492673632192,0.0001500231561422256
EXP05_Levallois preferential,382298,20000,0.0,0.1907061526095721,0.4956739169725586,0.18731416145358862,0.050573885862995285,0.03384958821313351,0.006415515232272519,0.011502951478242974,0.0072618171899342734,0.004033636745369954,0.0033305607502727443,0.0018171313710753547,0.0022605566456028294,0.0010203820050413929,0.0009256137141399227,0.0010689305818118145,0.0005571392835182349,0.0006006457371882306,0.00038886411087871365,0.000349304667446128,0.00034924537535723453
EXP06_Levallois convergent,768016,20000,0.0,0.8073464189627582,0.05212096592034879,0.06860031850392878,0.03526301834421122,0.012643947935885724,0.0095959220560456,0.0036454159527562796,0.0033649962513923083,0.002099183406473527,0.0014117927196104284,0.0011878723608240531,0.0007003485348587241,0.0005853508069128688,0.00042095956444807166,0.00024402949296549497,0.00022406916491567237,0.00015088959004367302,0.00015200388977042837,0.00013346224909249036,0.00010903429275780606
EXP07_Levallois preferential,499182,20000,0.0,0.2581935087069412,0.5610597203702085,0.03444612301685829,0.0960746325578721,0.007230696173575822,0.021480886454833734,0.005783664806355961,0.005404254334512913,0.0034058692843130676,0.0018879607693888813,0.0016551482419353448,0.000857872932644532,0.0007364242717139087,0.00041370417225743345,0.00037914135462870096,0.00025798278353149774,0.00024700688057669286,0.00017248954149827556,0.00017627504218149442,0.00013663830417189054
EXP08_Levallois preferential,490300,20000,0.0,0.08261337729076053,0.49714421033627954,0.2895861056864202,0.021389443561438622,0.05030184562495282,0.02287264536940245,0.009530030909398078,0.009181533685023769,0.002428492224430056,0.005721064498836353,0.001981419556168094,0.0011192210754282577,0.0020926726490247466,0.0006486393665344934,0.0008834611715252271,0.0008287261037775801,0.0005734617128947064,0.0005306289031483087,0.000348029145318109,0.0002249911292382149
EXP09_Levallois preferential,290334,20000,0.0,0.05549049172188728,0.6626428730620612,0.09832191483961508,0.0856614334701005,0.04436499751044278,0.0155813072915277,0.017198518785204564,0.00393254036323037,0.004685406445528051,0.003126552448444989,0.0028348484869252107,0.0012977083478809637,0.000745566723064018,0.0011342848609612191,0.0008310311464136809,0.0006698948451445798,0.0003995160062688967,0.00039934486012060304,0.00025952507371750604,0.00042224371146082893
EXP10_Cylindrical unidirectional,508202,20000,0.0,0.7364008427027773,0.140575238866251,0.02506213212913697,0.01656482528490108,0.02609001913977202,0.019465708715425103,0.016558689414288175,0.005262370647597365,0.002705361286681162,0.002790031074323356,0.0016506140655953069,0.0025387526050093707,0.0009652490790432491,0.0008718516898093027,0.000676103910047269,0.00045508445860444123,0.000520854106849642,0.0003770140210978325,0.00020973717463195838,0.00025951962815816984
